target,source,flows
2,1,914
3,1,33127
4,1,1387
5,1,2100
6,1,982
7,1,378
8,1,1026
9,1,825
10,1,3914
11,1,1075
12,1,886
13,1,1665
14,1,1266
15,1,1547
16,1,4209
17,1,1173
18,1,1421
19,1,760
1,2,2395
3,2,536
4,2,20
5,2,167
6,2,33
7,2,21
8,2,40
9,2,15
10,2,472
11,2,200
12,2,57
13,2,146
14,2,47
15,2,794
16,2,92
17,2,24
18,2,100
19,2,5
1,3,11162
2,3,74
4,3,274
5,3,422
6,3,223
7,3,82
8,3,670
9,3,403
10,3,1345
11,3,148
12,3,154
13,3,320
14,3,360
15,3,159
16,3,908
17,3,154
18,3,251
19,3,124
1,4,1805
2,4,15
3,4,435
5,4,63
6,4,67
7,4,5
8,4,73
9,4,131
10,4,810
11,4,61
12,4,41
13,4,145
14,4,95
15,4,19
16,4,49
17,4,34
18,4,135
19,4,476
1,5,2690
2,5,28
3,5,366
4,5,20
6,5,63
7,5,69
8,5,53
9,5,19
10,5,309
11,5,71
12,5,88
13,5,34
14,5,35
15,5,68
16,5,269
17,5,513
18,5,34
19,5,23
1,6,1610
2,6,32
3,6,466
4,6,64
5,6,70
7,6,149
8,6,404
9,6,67
10,6,198
11,6,59
12,6,62
13,6,42
14,6,61
15,6,28
16,6,124
17,6,32
18,6,212
19,6,77
1,7,735
2,7,2
3,7,162
4,7,13
5,7,86
6,7,90
8,7,76
9,7,5
10,7,79
11,7,30
12,7,36
13,7,10
14,7,13
15,7,17
16,7,116
17,7,85
18,7,29
19,7,14
1,8,1420
2,8,13
3,8,892
4,8,37
5,8,107
6,8,307
7,8,84
9,8,163
10,8,310
11,8,47
12,8,30
13,8,46
14,8,62
15,8,19
16,8,321
17,8,51
18,8,68
19,8,64
1,9,1264
2,9,7
3,9,446
4,9,64
5,9,39
6,9,29
7,9,17
8,9,138
10,9,936
11,9,28
12,9,11
13,9,25
14,9,150
15,9,15
16,9,45
17,9,11
18,9,45
19,9,221
1,10,2333
2,10,46
3,10,862
4,10,208
5,10,196
6,10,75
7,10,58
8,10,121
9,10,407
11,10,95
12,10,95
13,10,117
14,10,535
15,10,98
16,10,131
17,10,110
18,10,71
19,10,259
1,11,2096
2,11,75
3,11,434
4,11,35
5,11,151
6,11,55
7,11,29
8,11,57
9,11,37
10,11,420
12,11,640
13,11,66
14,11,50
15,11,480
16,11,116
17,11,98
18,11,229
19,11,25
1,12,1219
2,12,30
3,12,316
4,12,20
5,12,176
6,12,54
7,12,77
8,12,27
9,12,15
10,12,223
11,12,516
13,12,54
14,12,48
15,12,133
16,12,107
17,12,270
18,12,89
19,12,9
1,13,2390
2,13,102
3,13,584
4,13,162
5,13,77
6,13,50
7,13,22
8,13,63
9,13,49
10,13,227
11,13,143
12,13,36
14,13,46
15,13,120
16,13,99
17,13,25
18,13,546
19,13,57
1,14,1435
2,14,8
3,14,407
4,14,59
5,14,49
6,14,18
7,14,7
8,14,45
9,14,130
10,14,952
11,14,32
12,14,30
13,14,17
15,14,29
16,14,45
17,14,18
18,14,21
19,14,162
1,15,2481
2,15,380
3,15,543
4,15,18
5,15,134
6,15,14
7,15,20
8,15,48
9,15,20
10,15,484
11,15,564
12,15,161
13,15,97
14,15,38
16,15,99
17,15,75
18,15,166
19,15,8
1,16,1852
2,16,15
3,16,689
4,16,31
5,16,452
6,16,59
7,16,122
8,16,252
9,16,44
10,16,230
11,16,59
12,16,55
13,16,32
14,16,47
15,16,30
17,16,112
18,16,53
19,16,23
1,17,1922
2,17,9
3,17,293
4,17,12
5,17,1053
6,17,57
7,17,90
8,17,40
9,17,33
10,17,335
11,17,181
12,17,372
13,17,18
14,17,46
15,17,98
16,17,147
18,17,41
19,17,16
1,18,2611
2,18,50
3,18,596
4,18,168
5,18,79
6,18,304
7,18,79
8,18,92
9,18,50
10,18,363
11,18,261
12,18,134
13,18,421
14,18,35
15,18,174
16,18,88
17,18,72
19,18,32
1,19,1024
2,19,10
3,19,259
4,19,409
5,19,41
6,19,91
7,19,2
8,19,58
9,19,172
10,19,776
11,19,16
12,19,16
13,19,23
14,19,174
15,19,13
16,19,28
17,19,25
18,19,38
