dep1,dep2,largo_limite,cod
1,3,60107,103
1,16,5400,116
2,15,197272,215
3,1,60107,301
3,8,94070,308
3,9,51167,309
3,10,24113,310
3,16,48749,316
4,6,91548,406
4,13,64044,413
4,18,102685,418
4,19,216049,419
5,7,2483,507
5,16,67607,516
5,17,144356,517
6,4,91548,604
6,7,91775,607
6,8,182177,608
6,12,112081,612
6,18,219925,618
6,19,17594,619
7,5,2483,705
7,6,91775,706
7,8,52794,708
7,12,2760,712
7,16,69905,716
7,17,118331,717
8,3,94070,803
8,6,182177,806
8,7,52794,807
8,9,116143,809
8,16,70039,816
8,19,44278,819
9,3,51167,903
9,8,116143,908
9,10,151560,910
9,14,72324,914
9,19,128202,919
10,3,24113,1003
10,9,151560,1009
10,14,117320,1014
11,12,203139,1112
11,15,204668,1115
11,18,98654,1118
12,6,112081,1206
12,7,2760,1207
12,11,203139,1211
12,17,177941,1217
12,18,39858,1218
13,4,64044,1304
13,15,26429,1315
13,18,214679,1318
14,9,72324,1409
14,10,117320,1410
14,19,71205,1419
15,2,197272,1502
15,11,204668,1511
15,13,26429,1513
15,18,68683,1518
16,1,5400,1601
16,3,48749,1603
16,5,67607,1605
16,7,69905,1607
16,8,70039,1608
17,5,144356,1705
17,7,118331,1707
17,12,177941,1712
18,4,102685,1804
18,6,219925,1806
18,11,98654,1811
18,12,39858,1812
18,13,214679,1813
18,15,68683,1815
19,4,216049,1904
19,6,17594,1906
19,8,44278,1908
19,9,128202,1909
19,14,71205,1914
