loc_destino,personas
3828,2699
3953,2660
3732,2600
3221,2110
16521,2014
3521,1629
3525,1501
3900,1423
15120,1322
3727,1188
13220,1185
3321,1185
3729,1149
3627,1106
3722,1103
10320,1036
3831,950
4220,930
18220,876
3633,831
11120,806
3959,792
3830,785
10524,697
3322,687
3530,642
17220,642
2220,637
5320,632
6220,608
16824,604
3523,600
3957,584
3529,573
9220,538
16220,513
3421,511
3621,509
12320,475
10830,453
19220,451
3835,438
8220,436
10523,413
3726,349
14320,309
7320,307
3524,299
5321,293
3320,285
3323,277
4522,266
18321,260
3987,257
12421,253
16900,253
17321,250
10321,240
3733,221
3631,212
3834,206
16421,200
5323,196
3527,181
3724,181
5422,180
5421,175
5423,170
14521,169
16722,163
14722,159
3993,159
3422,156
16950,151
8900,140
6421,140
3939,139
13837,122
10944,120
3826,112
14421,109
16829,100
17521,100
3528,97
10833,94
5522,93
18900,92
2521,91
3839,91
3910,91
13522,91
8421,91
9522,89
5900,85
10900,84
10954,84
8623,83
5621,81
19956,79
9900,79
14821,78
3980,78
3629,78
14422,77
14962,71
3526,68
15900,67
3634,66
12900,65
5622,63
11522,62
10973,62
10953,61
3837,61
3935,59
19521,58
13721,58
17900,56
14900,55
8622,55
10936,55
3995,54
10522,53
13521,53
18521,53
11951,52
6900,52
16929,51
4521,49
3630,49
10821,49
3946,49
10521,48
11521,46
3925,45
3997,45
16621,44
3625,44
5521,44
10956,43
13838,42
18834,40
19790,39
9521,39
7900,39
13900,39
3978,38
3825,38
8624,38
4721,38
2828,37
15523,37
19522,36
6722,36
6521,36
3943,35
2830,35
14921,35
14957,34
15522,34
10986,33
8621,33
3974,33
3628,33
9622,33
4900,32
10955,32
3730,32
3984,31
3624,31
13836,30
19900,30
8521,30
14923,30
6724,29
11621,29
3994,29
17622,28
3912,28
12621,28
3622,28
15827,27
10832,27
3827,26
19723,26
6790,26
18722,26
16821,25
16721,25
3326,25
3975,24
3632,24
2962,24
3921,24
3723,23
13621,23
10828,22
14942,22
3989,22
8724,21
17722,21
8721,21
6622,20
6621,20
14940,20
10942,20
2900,20
3970,19
3836,19
10924,19
3725,19
7721,18
4621,18
18828,18
12622,18
14960,17
10925,17
2522,17
14959,17
11900,16
11695,16
3996,16
3945,16
2958,16
3986,15
10934,15
18723,15
17624,15
9621,15
10959,14
3325,14
10945,14
3721,14
10940,14
9721,14
19722,14
8722,14
17950,13
10931,13
4949,13
3823,12
3991,12
8821,12
8723,12
10948,12
17621,12
14721,11
3838,11
12930,11
10939,11
3832,11
16932,11
11830,11
3881,11
16825,11
6721,11
3948,11
3956,11
14622,10
3985,10
3880,10
10958,10
3922,10
16827,10
15832,10
5724,9
4987,9
14823,9
2621,9
11723,9
3626,9
15723,9
15822,9
4821,8
3949,8
15924,8
3979,8
10823,8
3992,8
13940,8
5979,8
17623,8
17721,8
8824,8
18833,7
19821,7
8790,7
10825,7
12828,7
5726,7
10969,7
10926,7
13832,7
4825,7
17823,7
8823,6
3911,6
7921,6
15722,6
3934,6
3929,6
4983,6
16923,6
18695,6
18721,6
5829,6
5831,6
14941,6
16823,6
7925,6
19721,6
9722,6
9956,5
14926,5
11894,5
16822,5
18937,5
12827,5
2822,5
2961,5
2724,5
12722,5
12823,5
14826,5
3928,5
12797,5
11828,5
5962,4
10831,4
5951,4
17825,4
5960,4
11722,4
4824,4
5987,4
3968,4
15831,4
3944,4
3882,4
18829,4
16826,4
3840,4
19971,4
5827,4
5721,4
5997,4
19822,4
12923,4
18830,4
8825,4
8991,3
5940,3
10929,3
5923,3
8944,3
8995,3
5927,3
5955,3
10827,3
10829,3
9958,3
14928,3
18928,3
15970,3
16961,3
16960,3
14723,3
2959,3
14621,3
14929,3
3927,3
11721,3
2831,3
3833,3
3988,3
13831,3
3829,3
19922,3
11822,3
14963,3
3913,2
14822,2
5964,2
15969,2
18724,2
5999,2
3731,2
2963,2
6821,2
15949,2
2833,2
18931,2
18993,2
7937,2
13823,2
17931,2
19896,2
17798,2
10980,2
3969,2
16947,2
11931,2
16965,2
15943,2
9924,2
11960,2
3914,2
17824,2
3990,2
5826,2
12723,2
4830,2
8933,2
9957,2
8923,2
4989,2
15946,1
16925,1
15945,1
8896,1
16926,1
16939,1
15965,1
15966,1
17930,1
8940,1
17993,1
17952,1
10826,1
4822,1
15939,1
12821,1
4827,1
4968,1
11825,1
10982,1
10972,1
3962,1
10962,1
11926,1
11953,1
11959,1
3926,1
5727,1
5798,1
5824,1
12824,1
19960,1
5924,1
5925,1
12945,1
13830,1
13833,1
5977,1
10935,1
3329,1
14964,1
2925,1
6951,1
6964,1
2823,1
2725,1
3324,1
