depto_origen,depto_destino,personas_mig
1,2,914
1,3,33127
1,4,1387
1,5,2100
1,6,982
1,7,378
1,8,1026
1,9,825
1,10,3914
1,11,1075
1,12,886
1,13,1665
1,14,1266
1,15,1547
1,16,4209
1,17,1173
1,18,1421
1,19,760
2,1,2395
2,3,536
2,4,20
2,5,167
2,6,33
2,7,21
2,8,40
2,9,15
2,10,472
2,11,200
2,12,57
2,13,146
2,14,47
2,15,794
2,16,92
2,17,24
2,18,100
2,19,5
3,1,11162
3,2,74
3,4,274
3,5,422
3,6,223
3,7,82
3,8,670
3,9,403
3,10,1345
3,11,148
3,12,154
3,13,320
3,14,360
3,15,159
3,16,908
3,17,154
3,18,251
3,19,124
4,1,1805
4,2,15
4,3,435
4,5,63
4,6,67
4,7,5
4,8,73
4,9,131
4,10,810
4,11,61
4,12,41
4,13,145
4,14,95
4,15,19
4,16,49
4,17,34
4,18,135
4,19,476
5,1,2690
5,2,28
5,3,366
5,4,20
5,6,63
5,7,69
5,8,53
5,9,19
5,10,309
5,11,71
5,12,88
5,13,34
5,14,35
5,15,68
5,16,269
5,17,513
5,18,34
5,19,23
6,1,1610
6,2,32
6,3,466
6,4,64
6,5,70
6,7,149
6,8,404
6,9,67
6,10,198
6,11,59
6,12,62
6,13,42
6,14,61
6,15,28
6,16,124
6,17,32
6,18,212
6,19,77
7,1,735
7,2,2
7,3,162
7,4,13
7,5,86
7,6,90
7,8,76
7,9,5
7,10,79
7,11,30
7,12,36
7,13,10
7,14,13
7,15,17
7,16,116
7,17,85
7,18,29
7,19,14
8,1,1420
8,2,13
8,3,892
8,4,37
8,5,107
8,6,307
8,7,84
8,9,163
8,10,310
8,11,47
8,12,30
8,13,46
8,14,62
8,15,19
8,16,321
8,17,51
8,18,68
8,19,64
9,1,1264
9,2,7
9,3,446
9,4,64
9,5,39
9,6,29
9,7,17
9,8,138
9,10,936
9,11,28
9,12,11
9,13,25
9,14,150
9,15,15
9,16,45
9,17,11
9,18,45
9,19,221
10,1,2333
10,2,46
10,3,862
10,4,208
10,5,196
10,6,75
10,7,58
10,8,121
10,9,407
10,11,95
10,12,95
10,13,117
10,14,535
10,15,98
10,16,131
10,17,110
10,18,71
10,19,259
11,1,2096
11,2,75
11,3,434
11,4,35
11,5,151
11,6,55
11,7,29
11,8,57
11,9,37
11,10,420
11,12,640
11,13,66
11,14,50
11,15,480
11,16,116
11,17,98
11,18,229
11,19,25
12,1,1219
12,2,30
12,3,316
12,4,20
12,5,176
12,6,54
12,7,77
12,8,27
12,9,15
12,10,223
12,11,516
12,13,54
12,14,48
12,15,133
12,16,107
12,17,270
12,18,89
12,19,9
13,1,2390
13,2,102
13,3,584
13,4,162
13,5,77
13,6,50
13,7,22
13,8,63
13,9,49
13,10,227
13,11,143
13,12,36
13,14,46
13,15,120
13,16,99
13,17,25
13,18,546
13,19,57
14,1,1435
14,2,8
14,3,407
14,4,59
14,5,49
14,6,18
14,7,7
14,8,45
14,9,130
14,10,952
14,11,32
14,12,30
14,13,17
14,15,29
14,16,45
14,17,18
14,18,21
14,19,162
15,1,2481
15,2,380
15,3,543
15,4,18
15,5,134
15,6,14
15,7,20
15,8,48
15,9,20
15,10,484
15,11,564
15,12,161
15,13,97
15,14,38
15,16,99
15,17,75
15,18,166
15,19,8
16,1,1852
16,2,15
16,3,689
16,4,31
16,5,452
16,6,59
16,7,122
16,8,252
16,9,44
16,10,230
16,11,59
16,12,55
16,13,32
16,14,47
16,15,30
16,17,112
16,18,53
16,19,23
17,1,1922
17,2,9
17,3,293
17,4,12
17,5,1053
17,6,57
17,7,90
17,8,40
17,9,33
17,10,335
17,11,181
17,12,372
17,13,18
17,14,46
17,15,98
17,16,147
17,18,41
17,19,16
18,1,2611
18,2,50
18,3,596
18,4,168
18,5,79
18,6,304
18,7,79
18,8,92
18,9,50
18,10,363
18,11,261
18,12,134
18,13,421
18,14,35
18,15,174
18,16,88
18,17,72
18,19,32
19,1,1024
19,2,10
19,3,259
19,4,409
19,5,41
19,6,91
19,7,2
19,8,58
19,9,172
19,10,776
19,11,16
19,12,16
19,13,23
19,14,174
19,15,13
19,16,28
19,17,25
19,18,38
